Part Number,Part Name,Rule Number,Title,Content
11,MISCELLANEOUS,142,Orders and notices to be in writing.,All orders and notices served on or given to any person under the provisions of this Code shall be in writing.
11,MISCELLANEOUS,143,Postage.,"Postage, where chargeable on a notice, summons or letter issued under this Code and forwarded by post, and the fee for registering the same, shall be paid within a time to be fixed before the communication is made: Provided that the 2[Provincial Government] 4[* * *] may remit such postage, or fee, or both, or may prescribe a scale of court fees to be levied in lieu thereof."
11,MISCELLANEOUS,144,Application for restitution.,"__ (1) Where and in so far as a decree is varied or reversed, the Court of first instance shall, on the application of any party entitled to any benefit by way of restitution or otherwise, cause such restitution to be made as will, so far as may be, place the parties in the position which they would have occupied but for such decree or such part thereof as has been varied or reversed; and, for this purpose, the Court may make any orders, including orders for the refund of costs and for the payment of interest, damages, compensation and mesne profits, which are properly consequential on such variation or reversal."
11,MISCELLANEOUS,145,Enforcement of liability of surety.,"Where any person has become liable as surety__ (a) for the performance of any decree or any part thereof, or (b) for the restitution of any property taken in execution of a decree, or (c) for the payment of any money, or for the fulfillment of any condition imposed on any person, under an order of the Court in any suit or in any proceedings consequent thereon, the decree or order may be executed against him, to the extent to which he has rendered himself personally liable, in the manner herein provided for the execution of decrees, and such person shall, for the purposes of appeal, be deemed a party within the meaning of section 47: Provided that such notice as the Court in each case thinks sufficient has been given to the surety."
11,MISCELLANEOUS,146,Proceedings by or against representatives.,"Save as otherwise provided by this Code or by any law for the time being in force, where any proceeding may be taken or application made by or against any person, then the proceeding may be taken or the application may be made by or against any person claiming under him."
11,MISCELLANEOUS,147,Consent or agreement by person under disability.,"In all suits to which any person under disability is a party, any consent or agreement, as to any proceeding shall, if given or made with the express leave of the Court by the next friend or guardian for the suit, have the same force and effect as if such person, were under no disability and had given such consent or made such agreement."
11,MISCELLANEOUS,148,Enlargement of time.,"Where any period is fixed or granted by the Court for the doing of any act prescribed or allowed by this Code, the Court may, in its discretion, from time to, enlarge such period, even though the period originally fixed or granted may have expired."
11,MISCELLANEOUS,149,Power to make up deficiency of court fees.,"Where the whole or any part of any fee prescribed for any document by the law for the time being in force relating to court fees has not been paid, the Court may, in its discretion, at any stage, allow the person, by whom such fee is payable, to pay the whole or part, as the case may be, of such court­fee; and upon such payment the document, in respect of which such fee is payable, shall have the same force and effect as if such fee had been paid in the first instance."
11,MISCELLANEOUS,150,Transfer of business.,"Save as otherwise provided, where the business of any Court is transferred to any other Court, the Court to which the business is so transferred shall have the same powers and shall perform the same duties as those respectively conferred and imposed by or under this Code upon the Court from which the business was so transferred."
11,MISCELLANEOUS,151,Saving of inherent powers of Court.,Nothing in this Code shall be deemed to limit or otherwise affect the inherent power of the Court 1[to be exercised after recording reasons] to make
11,MISCELLANEOUS,152,"Amendment of judgments, decrees or orders.","Clerical or arithmetical mistakes in judgments, decrees or orders or errors arising therein from any accidental slip or omission may at any time be corrected by the Court either of its own motion or on the application of any of the parties."
11,MISCELLANEOUS,153,General power to amend.,"The Court may at any time, and on such terms as to costs or otherwise as it may think fit, amend any defect or error in any proceeding in a suit; and all necessary amendments shal1 be made for the purpose of determining the real question or issue raised by or depending on such proceeding."
11,MISCELLANEOUS,154,,1[ Omitted ].
11,MISCELLANEOUS,155,,2[ Omitted ] .
11,MISCELLANEOUS,156,,3[ Repeals .]
11,MISCELLANEOUS,157,Continuance of orders under repealed enactments.,"Notifications published, declarations and rules made, places appointed, agreements filed, scales prescribed, forms framed, appointments made and powers conferred under Act VIII of 1859 or under any Code of Civil Procedure or any Act amending the same or under any other enactment hereby repealed shall, so far as they are consistent with this Code, have the same force and effect as if they had been respectively published, made, appointed, filed, prescribed, framed and conferred under this Code and by the authority empowered thereby in such behalf."
11,MISCELLANEOUS,158,Reference to Code of Civil Procedure and other repealed enactments.,"In every enactment or notification passed or issued before the commencement of this Code in which reference is made to or to any Chapter or section of Act VIII of 1859 or any Code of Civil Procedure or any Act amending the same or any other enactment hereby repealed, such reference shall, so far as may be practicable, be taken to be made to this Code or to its corresponding Part, Order, section or rule."
11,MISCELLANEOUS,159,Saving of proceedings.__,"All proceedings instituted prior to the commencement of the Code of Civil Procedure (Amendment) Act, 2023 (Act of 2023) shall be deemed to be the proceedings of, and dealt in accordance with, the provisions of this Code which existed prior to the aforesaid commencement. Explanation.__ In this section, the expression “proceedings” includes suit, appeal, review, revision, execution applications or any other proceedings and any matter incidental thereto.]"
