"Part Number","Part Name","Rule Number","Title","Content"
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","12","Appearance of one of several plaintiffs of defendants for others.","__ (1) where there are more plaintiffs than one, any one or more of them may be authorized by any other of them to appear, plead or act for such other in any proceeding ; and in like manner, where there are more defendants than one, any one or more of them may be authorized by any other of them to appear, plead or act for such other in any proceeding. (2) The authority shall be in writing signed by the party giving it and shall be filed in Court."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","13","Objections as to non joinder or misjoinder.","All objections on the ground of non joinder or misjoinder of parties shall be taken at the earliest possible opportunity and, in all cases where issues are settled, at or before such settlement, unless the ground of objection has subsequently arisen, and any such objection not so taken shall be deemed to have been waived. 1Subs. by the Federal Laws (Revision and Declaration) Ordinance, 1981 (27 of 1981), s.3 and Second Sch., for “Indian Limitation Act, 1877 (15 of 1877)”."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","1","Frame of suit.","Every suit shall as far as practicable be framed so as to afford ground for final decision upon the subjects in dispute and to prevent further litigation concerning them."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","2","Suit to include the whole claim.","__ (1) Every suit shall include the whole of the claim which the plaintiff is entitled to make in respect of the cause of action; but a plaintiff may relinquish any portion of his claim in order to bring the suit within the jurisdiction of any Court. (2) Relinquishment of part of claim. Where a plaintiff omits to sue in respect of, or intentionally relinquishes, any portion of his claim, he shall not afterwards sue in respect of the portion so omitted or relinquished. (3) Omission to sue for one of several reliefs. A person entitled to more than one relief in respect of the same cause of action may sue for all or any of such reliefs ; but if he omits, except with the leave of the Court, to sue for all such reliefs, he shall not afterwards sue for any relief so omitted. Explanation.__ For the purposes of this rule an obligation and a collateral security for its performance and successive claims arising under the same obligation shall be deemed respectively to constitute but one cause of action. Illustration A lets a house to B at a yearly rent of Rs.1,200. The rent for the whole of the years 1905, 1906 and 1907 is due and unpaid. A sues B in 1908 only for the rent, due for"
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","1906","","A shall not afterwards sue B for the rent due for 1905 or"
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","1907","3. Joinder of causes of action.","__ (1) Save as otherwise provided, a plaintiff may unite in the same suit several causes of action against the same defendant, or the same defendants jointly; and any plaintiffs having causes of action in which they are jointly interested against the same defendant or the same defendants jointly may unite such causes of action in the same suit. (2) Where causes of action are united, the jurisdiction of the Court as regards the suit shall depend on the amount or value of the aggregate subject-matters at the date of instituting the suit."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","4","Only certain claims to be joined for recovery of immoveable property.","No cause of action shall, unless with the leave of the Court, be joined with a suit for the recovery of immoveable property, except__ (a) claims for mesne profits or arrears of rent in respect of the property claimed or any part thereof; (b) claims for damages for breach of any contract under which the property or any part thereof is held; and (c) claims in which the relief sought is based on the same cause of action: Provided that nothing in this rule shall be deemed to prevent any party in a suit for foreclosure or redemption from asking to be put into possession of the mortgaged property."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","5","Claims by or against executor, administrator or heir.","No claim by or against an executor, administrator or heir, as such, shall be joined with claims by or against him personally, unless the last mentioned claims are alleged to arise with reference to the estate in respect of which the plaintiff or defendant sues or is sued as executor, administrator or heir, or are such as he was entitled to, or liable for, jointly with the deceased person whom he represents."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","6","Power of Court to order separate trials.","Where it appears to the Court that any causes of action joined in one suit cannot be conveniently tried or disposed of together, the Court may order separate trials or make such other order as may be expedient."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","7","Objections as to misjoinder.","All objections on the ground of misjoinder of causes of action shall be taken at the earliest possible opportunity and, in all cases where issues arc settled, at or before such settlement, unless the ground of objection has subsequently arisen, and any such objection not so taken shall be deemed to have been waived. ORDER III RECOGNIZED AGENTS AND PLEADERS"
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","1","Appearances etc., may be in person, by recognized agent or by pleader.","Any appearance, application or act in or to any Court, required or authorized by law to be made or done by a party in such Court, may, except where otherwise expressly provided by any law for the time being in force, be made or done by the party in person, or by his recognized agent, or by a pleader 1[appearing, applying or acting, as the case may be,] on his behalf: Provided that any such appearance shall, if the Court so directs, be made by the party in person."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","2","Recognized agents.","The recognized agents of parties by whom such appearances, applications and acts may be made or done are__ (a) persons holding powers of attorney, authorizing them to make and do such appearances, applications and acts on behalf of such parties ; (b) persons carrying on trade or business for and in the names of parties not resident within the local limits of the jurisdiction of the Court within which limits the appearance, application or act is made or done, in matters connected with such trade or business only, where no other agent is expressly authorized to make and do such appearances, applications and acts."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","3","Service of process on recognized agent.","__ (1) Processes served on the recognized agent of a party shall be as effectual as if the same had been served on the party in person, unless the Court otherwise directs. (2) The provisions for the service of process on a party to a suit shall apply to the service of process on his recognized agent. 2["
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","4","Appointment of pleader",".__ (1) No pleader shall act for any person in any Court, unless he 1Subs. by the Code of Civil Procedure (Second Amdt.) Act, 1926 (22 of 1926) s.2, for “duly appointed to act”. 2Subs. by the Code of Civil Procedure (Second Amdt.) Act, 1926 (22 of 1926), s.2, for the original rule"
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","4","",""
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","5","Service of process on pleader.","Any process served on the pleader of any party or left at the office or ordinary residence of such pleader, and whether the same is for the personal appearance of the party or not, shall be presumed to be duly communicated and made known to the party whom the pleader represents, and, unless the Court otherwise directs, shall be as effectual for all purposes as if the same had been given to or served on the party in person."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","6","Agent to accept service.","__ (1) Besides the recognized agents described in rule 2 any person residing within the jurisdiction of the Court may be appointed an agent to accept service of process. (2) Appointment to be in writing and to be filed in Court. Such appointment may be special or general and shall be made by an instrument in writing signed by the principal, and such instrument or, if the appointment is general, a certified copy thereof shall be filed in Court. _________ ORDER IV INSTITUTION OF SUITS"
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","1","Suit to be commenced by plaint.","__ (1) Every suit shall be instituted by presenting a plaint to the Court or such officer as it appoints in this behalf."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","2","Register of suits.","The Court shall cause the particulars of every suit to be entered in a book to be kept for the purpose and called the register of civil suits. Such entries shall be numbered in every year according to the order in which the plaints are admitted. _________ ORDER V ISSUE AND SERVICE OF SUMMONS Issue of Summons"
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","1","Summons.","__ (1) When a suit has been duly instituted a summons may be issued to the defendant to appear and answer the claim on a day to be therein specified: Provided that no such summons shall be issued when the defendant has appeared at the presentation of the plaint and admitted the plaintiff’s claim. (2) A defendant to whom a summons has been issued under sub rule (1) may appear__ (a) in person, or (b) by a pleader duly instructed and able to answer all material questions relating to the suit, or (c) by a pleader accompanied by some person able to answer all such questions. (3) Every such summons shall be signed by the Judge or such officer as he appoints, and shall be sealed with the seal of the Court."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","2","Copy or statement annexed to Summons.","Every summons shall be accompanied by a copy of the plaint or, if so permitted, by a concise statement."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","3","Court may order defendant or plaintiff to appear in person.","__ (1) Where the Court sees reason to require the personal appearance of the defendant, the summons shall order him to appear in person in Court on the day therein specified. (2) Where the Court sees reason to require the personal appearance of the plaintiff on the same day, it shall make an order for such appearance."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","4","No party to be ordered to appear in person unless resident within certain limits.","No party shall be ordered to appear in person unless he resides__ (a) within the local limits of the Court's ordinary original jurisdiction, or (b) without such limits but at a place less than fifty or (where there is railway or steamer communication or other established public conveyance for five sixths of the distance between the place where he resides and the place where the Court is situate) less than two hundred miles distance from the court house."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","5","Summons to be either to settle issues or for final disposal.","The Court shall determine, at the time of issuing the summons, whether it shall be for the settlement of issues only, or for the final disposal of the suit ; and the summons shall contain a direction accordingly: Provided that, in every suit heard by a Court of small Causes, the summons shall be for the final disposal of the suit."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","6","Fixing day for appearance of defendant.","The day for the appearance of the defendant shall be fixed with reference to the current business of the Court, the place of residence of the defendant and the time necessary for the service of the summons; and the day shall be so fixed as to allow the defendant sufficient time to enable him to appear and answer on such day."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","7","Summons to order defendant to produce documents relied on by him.","The summons to appear and answer shall order the defendant to produce all documents in his possession or power upon which he intends to rely in support of his case."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","8","On issue of summons for final disposal, defendant to be directed to produce his witnesses.","Where the summons is for the final disposal of the suit, it shall also direct the defendant to produce, on the day fixed for his appearance, all witnesses upon whose evidence he intends to rely in support of his case. Service of Summons"
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","9","Delivery or transmission of summons for service",".__ (1) Where the defendant resides within the jurisdiction of the Court in which the suit is instituted, or has an agent resident within that jurisdiction who is empowered to accept the service of the summons, the summons shall, unless the Court otherwise directs, be delivered or sent to the proper officer to be served by him or one of his subordinates. (2) The proper officer may be an officer of a Court other than that in which the suit is instituted, and, where he is such an officer, the summons may be sent to him by post or in such other manner as the Court may direct. 1[(3) Unless the Court otherwise directs, the proper officer or an officer authorised by him in this behalf shall cause the service of summons and return it to the Court within fifteen days of issue of summons.]"
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","10","Mode of service.","Service of the summons shall be made by delivering or tendering a copy thereof signed by the Judge or such officer as he appoints in this behalf, and sealed with the seal of the Court. 2[10 A. Service by post .__ (1) Simultaneously with the issue of summons under rule 9, there shall be sent, unless otherwise ordered by the Court, to the defendant, by registered post, acknowledgment due, another copy of the summons signed and sealed in the manner provided in rule"
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","10","","1Added by Act. XIV of 1994, s.11 2Rule 10 A ins. by the Law Reforms Ordinance, 1972 (12 of 1972), s.2 and Sch."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","11","Service on several defendants.","Save as otherwise prescribed, where there are more defendants than one, service of the summons shall be made on each defendant."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","12","Service to be on defendant in person when practicable or on his agent.","Wherever it is practicable, service shall be made on the defendant in person, unless he has an agent empowered to accept service, in which case service on such agent shall be sufficient."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","13","Service on agent by whom defendant carries on business",".__ (1) In a suit relating to any business or work against a person who does not reside within the local limits of the jurisdiction of the Court from which the summons is issued, service on any manager or agent, who, at the time of service, personally carries on such business or work for such person within such limits, shall be deemed good service. (2) For the purpose of this rule the master of a ship shall be deemed to be the agent of the owner or charterer."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","14","Service on agent in charge in suits for immoveable property",". Where in a suit to obtain relief respecting, or compensation for wrong to, immoveable property, service cannot be made on the defendant in person, and the defendant has no agent empowered to accept the service, it may be made on any agent of the defendant in charge of the property."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","15","Where service may be on male member of defendant’s family.","Where in any suit the defendant cannot be found and has no agent empowered to accept service of the summons on his behalf, service may be made on any adult male member of the family of the defendant who is residing with him. Explanation. __ A servant is not a member of the family within the meaning of this rule."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","16","Person served to sign acknowledgment.","Where the serving officer delivers or tenders a copy of the summons to the defendant personally, or to an agent or other person on his behalf, he shall require the signature of the person to whom the copy is so delivered or tendered to an acknowledgment of service endorsed on the original summons."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","17","Procedure when defendant refuses to accept service, or cannot be found.","Where the defendant or his agent or such other person as aforesaid refuses to sign the acknowledgment, or where the serving officer, after using all due and reasonable diligence, cannot find the defendant, and there is no agent empowered to accept service of the summons on his behalf, nor any other person on whom service can be made, the serving officer shall affix a copy of the summons on the outer door or some other conspicuous part of the house in which the defendant ordinarily resides or carries on business or personally works for gain, and shall then return the original to the Court from which it was issued, with a report endorsed thereon or annexed thereto stating that he has so affixed the copy, the circumstances under which he did so, and the name and address of the person (if any) by whom the house was identified and in whose presence the copy was affixed."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","18","Endorsement of time and manner of service",". The serving officer shall, in all cases in which the summons has been served under rule 16, endorse or annex, or cause to be endorsed or"
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","19","Examination of serving officer",". Where a summons is returned under rule 17, the Court shall, if the return under that rule has not been verified by the affidavit of the serving officer, and may, if it has been so verified, examine the serving officer on oath, or cause him to be so examined by another Court, touching his proceedings, and may make such further inquiry in the matter as it thinks fit; and shall either declare that the summons has been duly served or order such service as it thinks fit."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","20","Substituted service.","1[(1) Where the Court is satisfied that there is reason to believe that the defendant is keeping out of the way for the purpose of avoiding service, or that for any other reason the summons cannot be served in the ordinary way, the Court shall order for service of summons by__ (a) affixing a copy of the summons at some conspicuous part of the house, if any, in which the defendant is known to have last resided or carried on business or personally worked for gain; or (b) any electronic device of communication which may include telegram, telephone, phonogram, telex, fax, radio and television; or (c) urgent mail service or public courier services; or (d) beat of drum in the locality where the defendant resides; or (e) publication in press; or (f) any other manner or mode as it may think fit: Provided that the Court may order the use of all or any of the aforesaid manners and modes of service simultaneously.] (2) Effects of substituted service. Service substituted by order of the Court shall be as effectual as if it had been made on the defendant personally. (3) Where service substituted, time for appearance to be fixed. Where service is substituted by order of the Court, the Court shall fix such time for the appearance of the defendant as the case may require 1[which shall not ordinarily exceed fifteen days.]"
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","21","Service of summons where defendant resides within jurisdiction of another Court.","A summons may be sent by the Court by which it is issued, whether within or without the province, either by one of its officers or by post to any Court (not being the High Court) having jurisdiction in the place where the defendant resides."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","22","","[ Service within Presidency towns of summons issued by Courts outside .] Omitted by A. O.,"
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","1949","","1Subs and added by Act. XIV of 1994, s.11."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","23","Duty of Court to which summons is sent.","The Court to which a summons is sent under rule 21 1[* * *] shall, upon receipt thereof, proceed as if it had been issued by such Court and shall then return the summons to the Court of issue, together with the record (if any) of its proceedings with regard thereto."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","24","Service on defendant in prison.","Where the defendant is confined in a prison, the summons shall be delivered or sent by post or otherwise to the officer in charge of the prison for service on the defendant."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","25","Service where defendant resides out of Pakistan and has no agent",". Where the defendant resides out of 2[Pakistan] and has no agent in 2[Pakistan] empowered to accept service, the summons shall 3[except in the cases mentioned in rule 26A] be addressed to the defendant at the place where he is residing and sent to him by post, if there is postal communication between such place and the place where the Court is situate."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","426","Service in foreign territory through Political Agent or Court.","Where__ (a) in the exercise of any foreign 5[or extra provincial jurisdiction vested in the 6[Federal Government]], a Political Agent has been appointed, or a Court has been established or continued, with power to serve a summons issued by a Court under this Code in any foreign territory in which the defendant resides, or 1The words and figures “or rule 22” omitted by A.O.,"
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","1949","","2Subs. by the Central Laws (Statute Reform) Ordinance, 1960 (21 of 1960), s.3 and 2nd Sch. ( with effect from the 14th October, 1955 ), for “the Provinces and the Capital of the Federation” which had been subs. by A.O., 1949, for “British India”. 3Ins. by the Code of Civil Procedure (Amdt.) Act, 1950 (68 of 1950), s.2 ( with effect from the 1st September, 1951 ). 1Provisions of s.29 have been applied to__ (i)the Civil Courts in the Federation of Malaya in so far as the Chief Commissioner’s Province of Baluchistan and the Capital of the Federation are concerned, see Gaz. of P., 1949, Pt.I, P.258 and ibid ., Pt.II A, P. 68 (ii)all Civil and Revenue Courts of India; and service by any Civil or Revenue Court of India of any summons issued under the Code of Civil Procedure, 1908, by a Court of the Province of Sind shall be deemed to be valid, see Sind Government Gazette, Extraordinary, dated 3rd July,"
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","1952","","Pt. I, P."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","437","","(iii)all Civil and Revenue Courts in India and Service by such Courts of any summons issued under the said Code by a Court in the N.W.F.P, Baluchistan or Karachi shall be deemed to be valid service, see N.W.F.P Government Gazette, 1952, Pt. I, P. 248 and Gaz., of P. 1952, Pt. I, P. 119 and ibid ., Pt. VI, p."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","126","","(iv)all Civil and Revenue Courts in India; and that service by such Courts of any summons issued under the said Code by a Court in Khairpur State shall be deemed to be valid service, see Khairpur State Gazette, Ext., 1952, dated the 18th September,"
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","1952","","(v)all Civil and Revenue Courts in India; and service by such Courts of any summons issued under the said Code by a Court in the Bahawalpur State shall be deemed to be valid service, see Bahawalpur Govt. Gazette, dated the 2nd October,"
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","1952","","(vi)all Civil and Revenue Courts of India; and service by any civil or Revenue Court in India, within whose jurisdiction the person to be served resides of any summons issued by a Court under the said Code shall be deemend to be valid service, see Punjab Gazette, Ext., 1951, dated the 1st September, 1951, p."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","1743","","(vii)all Civil and Revenue Courts in the Union of Burma, in respect of Baluchistan; and service by such Courts of any summons issued under the said Code by a Court in Baluchistan shall be deemed to be valid service see Gaz. of P., Ext., 1954, p."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","1873","","(viii)all Civil and Revenue Courts in the Union of Burma, in respect of Karachi; and service by such Courts of any summons issued under the said Code by a Court in Karachi shall be deemed to be valid service, see Gaz. of p., Extra., 1954, p."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","1997","","(ix)all Civil and Revenue Courts of the Union of Burma; and service by such Courts of Summonss issued under the said Code by A Court in East Bengal shall be deemed to be valid service, see Dacca Gazette, Ext., dated 18th October, 1954, Pt. I, p."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","3053","","(x)all Civil and Revenue Courts of the Union of Burma; and service by such Courts of any summons issued under the said Code by a Court in the N.W.F.P, shall be deemed to be valid service, see N.W.F.P, Gazette, 1954, Pt. I, p."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","523","","(xi)all Civil and Revenue Courts of the Union of Burma; and service by such Courts of any summons issued under the said Code by a Court in the Province of Punjab, shall be deemed to be valid service, see Gaz. of Punjab, 1954, Pt. I, p."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","843","","(xii)all Civil and Revenue Courts of the Union of Burma; and service by such Courts of any summons issued under the said Code by a Court in the Province of Sind, shall be deemed to be valid service, w.e.f. 18th October, 1954, see Gaz. of Sind, 1954, pt I, p."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","940","","(xiii)all Civil and Revenue Courts in the Federal Republic of Germany; and service by such Courts of summons issued under the said Code by a Court in Baluchistan shall be deemed to be valid service, see Gaz. of P. 1955, Pt. I, p."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","126","","(xiv)the summonses issued by any Civil or Revenue Courts in Pakistan may be sent to the Courts in the Union of Burma and served as if they had been issued by such Courts, see Gaz of 1955, P.I, p."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","143","","(xv)service by any Court situated in Pakistan, of any summons issued by a Court of the Union of Burma shall be deemed to be valid service, see Gaz. of P., 1955, Pt. I, p."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","143","","(xvi)all Civil and Revenue Courts in the Federal Republic of Germany an services by such Courts of any summons issued under the said Code by a Court in Karachi, shall be deemed to be valid service, with effect on and from the 1st June, 1955, see Gaz. Of P., 1955, Pt. VI, p."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","102","","(xvii)all Civil and Revenue Courts in the Federal Republic of Germany; and service by such Courts of any summons issued under the said Code by a Court in the Province of East Bengal shall be deemed to be valid service see Dacca Gazette, 1955, Pt. I, p."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","1051","","(xviii)all Civil Courts in Switzerland and the service by such Courts of any summons issued under the Code (C.Pr.C.) by a Court in the Province of W. Pakistan shall be deemed to be valid service, see W.P. Gaz., 1959, Ext. p."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","843","","5Subs. by A.O., 1949, for “jurisdiction vested in His Majesty or in [the Central Govt. or the Crown Representative]”. The words in crotchet had been subs., for “the G.G in C.” by A.O.,"
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","1937","","6Subs. by F.A.O., 1975, Art. 2 and Table, for “Central Government”."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","27","Service on civil public officer or on servant of railway company or local authority.","Where the defendant is a public officer (not belonging to 7[the armed forces of Pakistan] 8[* * *], or is the servant of a railway company or local authority, the Court may, if it appears to it that the summons may be most conveniently so served, send if for service on the defendant to the head of the office in which he is employed, together with a copy to be retained by the defendant."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","28","Service on soldiers, sailors or airmen",". Where the defendant is a soldier, 9[sailor] 10[or airman], the Court shall send the summons for service to his commanding officer together with a copy to be retained by the defendant. 1Subs. by the Second Repealing and Amending Act, 1914 (17 of 1914), s.2 and First Sch., for the original cl. (b). 2Subs. by A.O., 1937, for “the G.G. in C.”. 3Subs. ibid ., for “Gazette of Inda”. 4Service by any Civil Court in the Federation of Malaya, of any summons issued under the Code of Civil Procedure by a Court of the Chief Commissioners’ Provinces of Baluchistan and Karachi, shall be deemed to be valid service, see Gaz. Of P., dated the 29th February, 1952 Pt. I, p. 144, and ibid ., dated the 14th March, 1952, Pt. IIA, p."
"1","SUITS IN GENERAL JURISDICTION OF THE COURTS AND Res Judicata","60","","5Subs. by A.O., 1937, for “issued by a Court under this Code”. 6S.26A ins. by the Code of Civil Procedure (Amdt.) Act, 1950 (68 of 1950), s.3 ( with effect from the 1st September, 1951 ). 7Subs. by A.O., 1961, Art 2 and Sch. ( with effect from the 23rd March, 1956 ), for “His Majesty’s military, [naval or air] forces”. The words in crotchets had been subs. by the Repealing and Amending Act, 1927 (10 of 1927), s.2 and 1st Sch., “or naval”. 8The words “or His Majesty’s Indian Marine Service” omitted by the Amending Act, 1934 (35 of 1934), s.2 and Sch. 9Ins. ibid . 10Ins. by Act 10 of 1927, s.2 and 1s Sch."
